,match_id,season,date,home_id,away_id,home_goals,away_goals
99,499326,2008/2009,2008-08-23,9790,8295,2,1
100,499327,2008/2009,2008-08-23,9789,9823,1,1
101,499328,2008/2009,2008-08-23,10269,8178,0,2
102,499329,2008/2009,2008-08-23,8697,10189,1,1
103,499330,2008/2009,2008-08-23,8177,9912,1,1
104,499331,2008/2009,2008-08-24,8722,9810,1,1
105,499332,2008/2009,2008-08-24,9911,8721,2,2
106,499333,2008/2009,2008-08-22,9904,8398,0,0
107,499334,2008/2009,2008-08-23,8226,9788,1,0
108,499488,2008/2009,2009-02-15,9790,9912,2,0
109,499489,2008/2009,2009-02-15,9789,8398,1,1
110,499490,2008/2009,2009-02-14,8697,9788,1,1
111,499491,2008/2009,2009-02-14,8177,9823,2,1
112,499492,2008/2009,2009-02-14,9810,8721,0,2
113,499493,2008/2009,2009-02-14,8722,8295,0,0
114,499494,2008/2009,2009-02-14,9911,10189,2,1
115,499495,2008/2009,2009-02-14,9904,10269,3,3
116,499496,2008/2009,2009-02-13,8226,8178,1,4
117,499497,2008/2009,2009-02-21,9823,8722,1,2
118,499498,2008/2009,2009-02-22,8178,9790,1,2
119,499499,2008/2009,2009-02-21,10269,8226,3,3
120,499500,2008/2009,2009-02-20,10189,9789,1,1
121,499501,2008/2009,2009-02-21,8721,8177,2,1
122,499502,2008/2009,2009-02-21,9912,9911,1,1
123,499503,2008/2009,2009-02-21,8398,8697,2,1
124,499504,2008/2009,2009-02-21,9788,9904,3,2
125,499505,2008/2009,2009-02-21,8295,9810,0,1
126,499506,2008/2009,2009-03-01,9790,8721,1,3
127,499507,2008/2009,2009-02-28,9789,8226,0,0
128,499508,2008/2009,2009-03-01,8697,9823,0,0
129,499509,2008/2009,2009-02-28,8177,9788,2,1
130,499510,2008/2009,2009-02-28,9810,10189,1,2
131,499511,2008/2009,2009-02-27,8722,9912,1,1
132,499512,2008/2009,2009-02-28,9911,8398,3,2
133,499513,2008/2009,2009-02-28,9904,8178,1,0
134,499514,2008/2009,2009-03-01,8295,10269,0,2
135,499515,2008/2009,2009-03-07,9823,9904,5,1
136,499516,2008/2009,2009-03-08,8178,9911,1,1
137,499517,2008/2009,2009-03-07,10269,9789,2,1
138,499518,2008/2009,2009-03-06,10189,8722,1,0
139,499519,2008/2009,2009-03-07,8721,8295,1,0
140,499520,2008/2009,2009-03-08,9912,9810,0,0
141,499521,2008/2009,2009-03-07,8398,8177,1,3
142,499522,2008/2009,2009-03-07,9788,9790,4,1
143,499523,2008/2009,2009-03-07,8226,8697,0,0
144,499524,2008/2009,2009-03-15,9790,8398,2,0
145,499525,2008/2009,2009-03-15,8697,10269,4,0
146,499526,2008/2009,2009-03-14,8177,8178,1,0
147,499527,2008/2009,2009-03-13,8721,10189,4,3
148,499528,2008/2009,2009-03-14,9810,8226,1,1
149,499529,2008/2009,2009-03-14,8722,9788,2,4
150,499530,2008/2009,2009-03-14,9911,9823,0,3
151,499531,2008/2009,2009-03-14,9904,9789,4,4
152,499532,2008/2009,2009-03-14,8295,9912,0,1
153,499533,2008/2009,2009-03-21,9823,8295,1,0
154,499534,2008/2009,2009-03-21,8178,9810,1,1
155,499535,2008/2009,2009-03-21,9789,8697,1,0
156,499536,2008/2009,2009-03-21,10269,8177,2,0
157,499537,2008/2009,2009-03-22,10189,9790,1,2
158,499538,2008/2009,2009-03-21,9912,8721,0,3
159,499539,2008/2009,2009-03-21,8398,8722,0,2
160,499540,2008/2009,2009-03-20,9788,9911,0,1
161,499541,2008/2009,2009-03-21,8226,9904,2,2
162,499542,2008/2009,2009-04-04,9790,8226,1,0
163,499543,2008/2009,2009-04-05,8697,9904,4,1
164,499544,2008/2009,2009-04-04,8177,9789,1,3
165,499545,2008/2009,2009-04-04,8721,9823,5,1
166,499546,2008/2009,2009-04-04,9810,8398,2,1
167,499547,2008/2009,2009-04-03,9912,10189,0,2
168,499548,2008/2009,2009-04-05,8722,8178,0,2
169,499549,2008/2009,2009-04-04,9911,10269,1,2
170,499550,2008/2009,2009-04-05,8295,9788,0,0
171,499551,2008/2009,2009-04-11,9823,9810,4,0
172,499552,2008/2009,2009-04-12,8178,8697,1,1
173,499553,2008/2009,2009-04-11,9789,8722,3,1
174,499554,2008/2009,2009-04-12,10269,9790,1,0
175,499555,2008/2009,2009-04-11,10189,8295,2,0
176,499556,2008/2009,2009-04-11,8398,9912,2,1
177,499557,2008/2009,2009-04-11,9904,8177,2,0
178,499558,2008/2009,2009-04-11,9788,8721,1,2
179,499559,2008/2009,2009-04-11,8226,9911,0,3
180,499560,2008/2009,2009-04-19,9790,9904,2,1
181,499561,2008/2009,2009-04-19,8177,8697,2,1
182,499562,2008/2009,2009-04-17,10189,8398,4,0
183,499563,2008/2009,2009-04-18,8721,8178,2,1
184,499564,2008/2009,2009-04-18,9810,9788,4,1
185,499565,2008/2009,2009-04-18,9912,9823,0,1
186,499566,2008/2009,2009-04-18,8722,10269,0,3
187,499567,2008/2009,2009-04-18,9911,9789,0,2
188,499568,2008/2009,2009-04-18,8295,8226,2,2
189,499569,2008/2009,2009-04-25,9823,10189,0,1
190,499570,2008/2009,2009-04-25,8178,8295,0,1
191,499571,2008/2009,2009-04-25,9789,9790,2,0
192,499572,2008/2009,2009-04-25,10269,9810,2,0
193,499573,2008/2009,2009-04-25,8697,9911,3,2
194,499574,2008/2009,2009-04-26,8398,8721,2,0
195,499575,2008/2009,2009-04-25,9904,8722,2,1
196,499576,2008/2009,2009-04-26,9788,9912,1,1
197,499577,2008/2009,2009-04-24,8226,8177,0,1
198,499335,2008/2009,2008-08-31,9823,8177,4,1
199,499336,2008/2009,2008-08-30,8178,8226,5,2
200,499337,2008/2009,2008-08-31,10269,9904,2,0
201,499338,2008/2009,2008-08-30,10189,9911,1,0
202,499339,2008/2009,2008-08-30,8721,9810,2,2
203,499340,2008/2009,2008-08-30,9912,9790,2,4
204,499341,2008/2009,2008-08-30,8398,9789,0,1
205,499342,2008/2009,2008-08-30,9788,8697,3,2
206,499343,2008/2009,2008-08-29,8295,8722,0,2
207,499578,2008/2009,2009-05-02,9823,9788,2,1
208,499579,2008/2009,2009-05-03,9790,8177,1,1
209,499580,2008/2009,2009-05-02,10189,8178,1,2
210,499581,2008/2009,2009-05-02,8721,8226,4,0
211,499582,2008/2009,2009-05-02,9810,9789,0,2
212,499583,2008/2009,2009-05-02,9912,10269,2,2
213,499584,2008/2009,2009-05-03,8722,8697,1,0
214,499585,2008/2009,2009-05-01,9911,9904,0,2
215,499586,2008/2009,2009-05-02,8295,8398,0,0
216,499587,2008/2009,2009-05-08,8178,9912,2,2
217,499588,2008/2009,2009-05-09,9789,8295,4,0
218,499589,2008/2009,2009-05-09,10269,8721,4,1
219,499590,2008/2009,2009-05-10,8697,9790,2,0
220,499591,2008/2009,2009-05-09,8177,9911,2,0
221,499592,2008/2009,2009-05-09,8398,9823,1,3
222,499593,2008/2009,2009-05-09,9904,9810,1,1
223,499594,2008/2009,2009-05-10,9788,10189,1,0
224,499595,2008/2009,2009-05-09,8226,8722,2,0
225,499596,2008/2009,2009-05-12,9823,8178,3,0
