,team_id,season,points,goals,goals_against,perfect_games,money_spent
187,8406,2011/2012,100,36,49,9,1180000.0
188,8406,2012/2013,96,33,51,8,2850000.0
189,8406,2013/2014,99,47,47,7,4550000.0
190,8406,2014/2015,102,43,43,10,12450000.0
191,8406,2015/2016,97,42,52,11,16700000.0
192,0,0,0,0,0,0,0.0
193,0,0,0,0,0,0,0.0
194,0,0,0,0,0,0,0.0
195,0,0,0,0,0,0,0.0
196,8194,2012/2013,100,39,57,8,3050000.0
197,0,0,0,0,0,0,0.0
198,0,0,0,0,0,0,0.0
199,0,0,0,0,0,0,0.0
200,0,0,0,0,0,0,0.0
201,0,0,0,0,0,0,0.0
202,0,0,0,0,0,0,0.0
203,0,0,0,0,0,0,0.0
204,8357,2012/2013,90,26,60,5,3850000.0
205,0,0,0,0,0,0,0.0
206,0,0,0,0,0,0,0.0
207,0,0,0,0,0,0,0.0
208,0,0,0,0,0,0,0.0
209,0,0,0,0,0,0,0.0
210,0,0,0,0,0,0,0.0
211,0,0,0,0,0,0,0.0
212,0,0,0,0,0,0,0.0
213,9776,2013/2014,94,29,60,6,1800000.0
214,0,0,0,0,0,0,0.0
215,0,0,0,0,0,0,0.0
216,0,0,0,0,0,0,0.0
217,0,0,0,0,0,0,0.0
218,0,0,0,0,0,0,0.0
219,0,0,0,0,0,0,0.0
220,0,0,0,0,0,0,0.0
221,0,0,0,0,0,0,0.0
222,8460,2014/2015,100,31,65,6,1950000.0
223,0,0,0,0,0,0,0.0
224,0,0,0,0,0,0,0.0
225,0,0,0,0,0,0,0.0
226,0,0,0,0,0,0,0.0
227,0,0,0,0,0,0,0.0
228,0,0,0,0,0,0,0.0
229,0,0,0,0,0,0,0.0
230,0,0,0,0,0,0,0.0
231,8234,2015/2016,99,33,42,10,6200000.0
232,0,0,0,0,0,0,0.0
233,0,0,0,0,0,0,0.0
234,0,0,0,0,0,0,0.0
235,0,0,0,0,0,0,0.0
236,0,0,0,0,0,0,0.0
237,0,0,0,0,0,0,0.0
238,0,0,0,0,0,0,0.0
239,8262,2015/2016,97,38,53,8,1100000.0
